Country,Curruption,Gini
Kyrgyzstan2012,24,27.35727
Kyrgyzstan2013,24,28.815479999999997
Kyrgyzstan2014,27,26.819000000000003
Kyrgyzstan2015,28,28.99792
Kyrgyzstan2016,28,26.78077
Kyrgyzstan2017,29,27.335009999999997
Kyrgyzstan2018,29,27.690330000000003
Latvia2012,49,35.23769
Latvia2013,53,35.50057
Latvia2014,55,35.11523
Latvia2015,56,34.204440000000005
Latvia2016,57,34.32963
Latvia2017,58,35.57193
Latvia2018,58,35.09615
Lebanon2012,30,31.83245
Lebanon2013,28,31.83245
Lebanon2014,27,31.83245
Lebanon2015,28,31.83245
Lebanon2016,28,31.83245
Lebanon2017,28,31.83245
Lebanon2018,28,31.83245
Lesotho2018,41,44.8797
Liberia2014,37,33.23788
Liberia2016,37,35.26546
Liberia2017,31,35.26546
Liberia2018,32,35.26546
Lithuania2012,54,35.09868
Lithuania2013,57,35.31115000000001
Lithuania2014,58,37.68144
Lithuania2015,59,37.37522
Lithuania2016,59,38.39121
Lithuania2017,59,37.2897
Lithuania2018,59,35.707809999999995
Luxembourg2012,80,34.34715
Luxembourg2013,80,32.03605
Luxembourg2014,82,31.15832
Luxembourg2015,85,32.92223
Luxembourg2016,81,31.72798
Luxembourg2017,82,34.51574
Luxembourg2018,81,35.36809
Madagascar2012,32,42.648179999999996
Madagascar2013,28,42.648179999999996
Madagascar2014,28,42.648179999999996
Madagascar2015,28,42.648179999999996
Madagascar2016,26,42.648179999999996
Madagascar2017,24,42.648179999999996
Madagascar2018,25,42.648179999999996
Malawi2017,31,44.694309999999994
Malawi2018,32,44.694309999999994
Malaysia2013,50,41.34883
Malaysia2016,49,41.0664
Malaysia2017,47,41.0664
Malaysia2018,47,41.0664
Maldives2016,36,31.28565
Maldives2017,33,31.28565
Maldives2018,31,31.28565
Mali2012,34,33.03796
Mali2013,28,33.03796
Mali2014,32,33.03796
Mali2015,35,33.03796
Mali2016,32,33.03796
Mali2017,31,33.03796
Mali2018,32,33.03796
Malta2012,57,29.36045
Malta2013,56,28.843659999999996
Malta2014,55,29.02035
Malta2015,60,29.433770000000003
Malta2016,55,29.089109999999998
Malta2017,56,29.23224
Malta2018,54,28.665090000000003
Mauritania2014,30,32.619350000000004
Mauritania2015,31,32.619350000000004
Mauritania2016,27,32.619350000000004
Mauritania2017,28,32.619350000000004
Mauritania2018,27,32.619350000000004
Mauritius2012,57,38.4654
Mauritius2017,50,36.76121
Mauritius2018,51,36.76121
Mexico2012,34,48.71347
Mexico2014,35,48.72244
Mexico2016,30,46.279790000000006
Mexico2018,28,45.37549
Moldova2012,36,29.15884
Moldova2013,35,28.534159999999996
Moldova2014,35,26.83385
Moldova2015,33,27.028159999999996
Moldova2016,30,26.345390000000002
Moldova2017,31,25.89924
Moldova2018,33,25.66165
Mongolia2012,36,33.75162
Mongolia2014,39,32.03779
Mongolia2016,38,32.345729999999996
Mongolia2018,37,32.740990000000004
Montenegro2012,41,32.273740000000004
Montenegro2013,44,32.44294
Montenegro2014,42,31.926520000000004
Montenegro2015,44,39.00503000000001
Montenegro2016,45,38.48795
Montenegro2017,46,38.48795
Montenegro2018,45,38.48795
Morocco2014,39,39.54851
Morocco2015,36,39.54851
Morocco2016,37,39.54851
Morocco2017,40,39.54851
Morocco2018,43,39.54851
Mozambique2015,31,53.996680000000005
Mozambique2016,27,53.996680000000005
Mozambique2017,25,53.996680000000005
Mozambique2018,23,53.996680000000005
Myanmar2012,15,38.068509999999996
Myanmar2013,21,38.068509999999996
Myanmar2014,21,38.068509999999996
Myanmar2015,22,38.068509999999996
Myanmar2017,30,30.69687
Myanmar2018,29,30.69687
Namibia2016,52,59.06661
Namibia2017,51,59.06661
Namibia2018,53,59.06661
Nepal2012,27,32.84059
Nepal2013,31,32.84059
Nepal2014,29,32.84059
Nepal2015,27,32.84059
Nepal2016,29,32.84059
Nepal2017,31,32.84059
Nepal2018,31,32.84059
Netherlands2012,84,27.620929999999998
Netherlands2013,83,28.106479999999998
Netherlands2014,83,28.631420000000002
Netherlands2015,84,28.24158
Netherlands2016,83,28.17357
Netherlands2017,82,28.53582
Netherlands2018,82,28.12108
Nicaragua2014,28,46.156290000000006
Nicaragua2015,27,46.156290000000006
Nicaragua2016,26,46.156290000000006
Nicaragua2017,26,46.156290000000006
Nicaragua2018,25,46.156290000000006
Niger2014,35,34.276579999999996
Niger2015,34,34.276579999999996
Niger2016,35,34.276579999999996
Niger2017,33,34.276579999999996
Niger2018,34,34.276579999999996
North Macedonia2012,43,38.136520000000004
North Macedonia2013,44,36.242940000000004
North Macedonia2014,45,35.20543
North Macedonia2015,42,35.59466
North Macedonia2016,37,34.534690000000005
North Macedonia2017,35,34.200199999999995
North Macedonia2018,37,32.9607
Norway2012,85,25.72626
Norway2013,86,26.3612
Norway2014,86,26.75263
Norway2015,88,27.496900000000004
Norway2016,85,28.49375
Norway2017,85,26.98733
Norway2018,84,27.55783
Panama2012,38,51.739959999999996
Panama2013,35,51.4572
Panama2014,37,50.46687
Panama2015,39,50.80666
Panama2016,38,50.40773
Panama2017,37,49.8885
Panama2018,37,49.21247
Papua New Guinea2012,25,41.85079
Papua New Guinea2013,25,41.85079
Papua New Guinea2014,25,41.85079
Papua New Guinea2015,25,41.85079
Papua New Guinea2016,28,41.85079
Papua New Guinea2017,29,41.85079
Papua New Guinea2018,28,41.85079
Paraguay2012,25,47.63361
Paraguay2013,24,47.93603
Paraguay2014,24,50.70264
Paraguay2015,27,47.605909999999994
Paraguay2016,30,47.89972
Paraguay2017,29,48.54749
Paraguay2018,29,45.9551
Peru2012,38,44.44853000000001
Peru2013,38,43.891059999999996
Peru2014,38,43.14853
Peru2015,36,43.36058
Peru2016,35,43.645790000000005
Peru2017,37,43.30327
Peru2018,35,42.37388
Philippines2012,34,42.22433
Philippines2015,35,40.3515
Philippines2018,36,37.81171
Poland2012,58,32.39128
Poland2013,60,32.54952
Poland2014,61,32.08015
Poland2015,63,31.823529999999998
Poland2016,62,30.79635
Poland2017,60,30.29658
Poland2018,60,31.14105
Portugal2012,63,36.03479
Portugal2013,62,36.1871
Portugal2014,63,35.56217
Portugal2015,64,35.5233
Portugal2016,62,35.19052
Portugal2017,63,33.80384
Portugal2018,64,33.49256
Romania2012,44,27.33424
Romania2013,43,27.4507
Romania2014,43,36.011540000000004
Romania2015,46,35.91388999999999
Romania2016,48,28.3457
Romania2017,48,36.01683
Romania2018,47,35.7615
Russia2012,28,40.71483
Russia2013,28,40.88442
Russia2014,27,39.88122
Russia2015,29,37.740840000000006
Russia2016,29,36.8485
Russia2017,29,37.23907000000001
Russia2018,28,37.473009999999995
Rwanda2017,55,43.71005
Rwanda2018,56,43.71005
Saint Lucia2016,60,51.233309999999996
Saint Lucia2017,55,51.233309999999996
Saint Lucia2018,55,51.233309999999996
Sao Tome and Principe2017,46,56.31984
Sao Tome and Principe2018,46,56.31984
